#pT v_2 stat_err_v_2 v_3 stat_err_v_3
2.000000000000000111e-01 3.050055006435129987e-02 2.399047901738954845e-03 6.220097001744580995e-03 6.440015418070383106e-04
4.000000000000000222e-01 4.279246089123242558e-02 3.382507327666953775e-03 9.895335252198251760e-03 1.019448262139822925e-03
5.999999999999999778e-01 5.806851505902514005e-02 4.585390907355314967e-03 1.399314309138753772e-02 1.432737042446403279e-03
8.000000000000000444e-01 7.758163850486313184e-02 6.094066890656557600e-03 2.093645375710697157e-02 2.124672097833488465e-03
1.000000000000000000e+00 9.731393359626326622e-02 7.614930335444908618e-03 3.014634679750065674e-02 3.032780421966988372e-03
1.199999999999999956e+00 1.144131076683157500e-01 8.951854473326850345e-03 4.016120813772375980e-02 4.012873716047315326e-03
1.399999999999999911e+00 1.275053042608729204e-01 1.002360570454580851e-02 4.968890951360803443e-02 4.942300018352627743e-03
1.600000000000000089e+00 1.361318552841612461e-01 1.081560595482089840e-02 5.784513643149049450e-02 5.740853652826013488e-03
1.800000000000000044e+00 1.403425266309571706e-01 1.134609944842840043e-02 6.412017379608316026e-02 6.366101963795256155e-03
2.000000000000000000e+00 1.404729978956515413e-01 1.164922284041408108e-02 6.829973509387979314e-02 6.805139202094555480e-03
2.200000000000000178e+00 1.370183202170487669e-01 1.176718491224976702e-02 7.038907361083117376e-02 7.067186407327340734e-03
2.399999999999999911e+00 1.305471056782632477e-01 1.174617397368270255e-02 7.054509866499840409e-02 7.177517101231781216e-03
2.600000000000000089e+00 1.216383652566975365e-01 1.163393727252189265e-02 6.901780196681812918e-02 7.172582765033396271e-03
2.799999999999999822e+00 1.108323881741993394e-01 1.147756075184064306e-02 6.610162101654847022e-02 7.096341272161616962e-03
3.000000000000000000e+00 9.859650764902504194e-02 1.132149124618487060e-02 6.209655189293979138e-02 6.997324616223472502e-03
