#pT yield
2.000000000000000111e-01 1.022815417910724456e+01
4.000000000000000222e-01 1.785299508222837117e+00
5.999999999999999778e-01 5.228894492473915578e-01
8.000000000000000444e-01 1.864697752283796528e-01
1.000000000000000000e+00 7.373914433842063132e-02
1.199999999999999956e+00 3.117753860266529731e-02
1.399999999999999911e+00 1.385462346013480520e-02
1.600000000000000089e+00 6.411360931729613230e-03
1.800000000000000044e+00 3.072346934815528476e-03
2.000000000000000000e+00 1.518701101892211587e-03
2.200000000000000178e+00 7.720530250051998175e-04
2.399999999999999911e+00 4.026008801299865518e-04
2.600000000000000089e+00 2.148523531727268175e-04
2.799999999999999822e+00 1.170843057911591373e-04
3.000000000000000000e+00 6.502325304311500304e-05
3.200000000000000178e+00 3.673090521568148808e-05
3.399999999999999911e+00 2.106861095112362424e-05
3.600000000000000089e+00 1.225183175533133584e-05
3.799999999999999822e+00 7.213066769625564822e-06
4.000000000000000000e+00 4.293910046548562149e-06
