#pT yield
2.000000000000000111e-01 3.796878148491296656e+01
4.000000000000000222e-01 2.480059891525354221e+00
6.000000000000000888e-01 4.359096167038648550e-01
8.000000000000000444e-01 1.191122692294180330e-01
1.000000000000000000e+00 4.198336078193323079e-02
1.200000000000000178e+00 1.748937128969598603e-02
1.400000000000000133e+00 8.203975492385636240e-03
1.600000000000000089e+00 4.206391090575363478e-03
1.800000000000000044e+00 2.311514518316664952e-03
2.000000000000000000e+00 1.342887693699701922e-03
2.200000000000000178e+00 8.166258646827842180e-04
2.400000000000000355e+00 5.159537411009933834e-04
2.600000000000000089e+00 3.367525426866850363e-04
2.800000000000000266e+00 2.260280697507107935e-04
3.000000000000000000e+00 1.554507738523071422e-04
3.200000000000000178e+00 1.092248909755827240e-04
3.400000000000000355e+00 7.821514632229814568e-05
3.600000000000000089e+00 5.696611620117537369e-05
3.800000000000000266e+00 4.212619154786572686e-05
4.000000000000000000e+00 3.158355467108201300e-05
